call_index,run_key,question_id,placement,replicate_stream,correct_display_slot,parsed_display_answer,parsed_answer,correct,model_call_count
220,mmlu-0696|P2|R1,mmlu-0696,P2,R1,C,C,A,True,1
221,mmlu-0357|P0|R2,mmlu-0357,P0,R2,D,A,A,False,1
222,mmlu-0813|P0|R1,mmlu-0813,P0,R1,A,C,A,False,1
223,mmlu-0211|P1|R1,mmlu-0211,P1,R1,B,B,A,True,1
224,mmlu-0107|P1|R1,mmlu-0107,P1,R1,B,D,A,False,1
225,mmlu-0796|P1|R1,mmlu-0796,P1,R1,C,A,A,False,1
226,mmlu-0880|P3|R1,mmlu-0880,P3,R1,B,D,D,False,1
227,mmlu-0036|P2|R2,mmlu-0036,P2,R2,D,D,D,True,1
228,mmlu-0742|P0|R2,mmlu-0742,P0,R2,A,A,A,True,1
229,mmlu-0150|P1|R2,mmlu-0150,P1,R2,A,A,B,True,1
230,mmlu-0825|P1|R1,mmlu-0825,P1,R1,D,D,C,True,1
231,mmlu-0843|P3|R2,mmlu-0843,P3,R2,B,D,A,False,1
232,mmlu-0013|P2|R2,mmlu-0013,P2,R2,C,C,B,True,1
233,mmlu-0446|P2|R1,mmlu-0446,P2,R1,B,A,C,False,1
234,mmlu-0648|P0|R2,mmlu-0648,P0,R2,A,C,C,False,1
235,mmlu-0448|P2|R2,mmlu-0448,P2,R2,B,D,A,False,1
236,mmlu-0448|P3|R1,mmlu-0448,P3,R1,A,D,D,False,1
237,mmlu-0305|P3|R1,mmlu-0305,P3,R1,D,C,B,False,1
238,mmlu-0796|P2|R1,mmlu-0796,P2,R1,D,D,B,True,1
239,mmlu-0452|P2|R2,mmlu-0452,P2,R2,C,C,D,True,1
240,mmlu-0556|P1|R2,mmlu-0556,P1,R2,A,D,D,False,1
241,mmlu-0184|P0|R1,mmlu-0184,P0,R1,D,D,D,True,1
242,mmlu-0761|P0|R2,mmlu-0761,P0,R2,A,B,C,False,1
243,mmlu-0715|P2|R2,mmlu-0715,P2,R2,C,C,B,True,1
244,mmlu-0015|P1|R2,mmlu-0015,P1,R2,D,D,B,True,1
245,mmlu-0183|P0|R1,mmlu-0183,P0,R1,D,D,B,True,1
246,mmlu-0663|P2|R2,mmlu-0663,P2,R2,A,A,A,True,1
247,mmlu-0013|P0|R1,mmlu-0013,P0,R1,B,C,A,False,1
248,mmlu-0186|P3|R2,mmlu-0186,P3,R2,C,C,C,True,1
249,mmlu-0421|P3|R1,mmlu-0421,P3,R1,D,C,B,False,1
250,mmlu-0663|P3|R2,mmlu-0663,P3,R2,C,C,A,True,1
251,mmlu-0767|P1|R2,mmlu-0767,P1,R2,A,C,C,False,1
252,mmlu-0599|P2|R2,mmlu-0599,P2,R2,B,C,A,False,1
253,mmlu-0446|P3|R2,mmlu-0446,P3,R2,A,C,C,False,1
254,mmlu-0977|P1|R2,mmlu-0977,P1,R2,D,D,A,True,1
255,mmlu-0599|P3|R2,mmlu-0599,P3,R2,A,C,B,False,1
256,mmlu-0841|P1|R1,mmlu-0841,P1,R1,B,D,B,False,1
257,mmlu-0835|P3|R1,mmlu-0835,P3,R1,A,C,B,False,1
258,mmlu-0565|P3|R1,mmlu-0565,P3,R1,D,A,D,False,1
259,mmlu-0447|P0|R1,mmlu-0447,P0,R1,A,C,B,False,1
260,mmlu-0742|P1|R1,mmlu-0742,P1,R1,C,C,A,True,1
261,mmlu-0475|P0|R1,mmlu-0475,P0,R1,C,C,B,True,1
262,mmlu-0292|P2|R1,mmlu-0292,P2,R1,C,C,A,True,1
263,mmlu-0280|P0|R1,mmlu-0280,P0,R1,A,C,B,False,1
264,mmlu-0652|P0|R1,mmlu-0652,P0,R1,B,B,D,True,1
265,mmlu-0745|P1|R2,mmlu-0745,P1,R2,C,C,A,True,1
266,mmlu-0280|P0|R2,mmlu-0280,P0,R2,A,C,B,False,1
267,mmlu-0743|P3|R2,mmlu-0743,P3,R2,C,C,D,True,1
268,mmlu-0854|P0|R1,mmlu-0854,P0,R1,D,C,B,False,1
269,mmlu-0835|P1|R1,mmlu-0835,P1,R1,D,B,B,False,1
270,mmlu-0184|P1|R1,mmlu-0184,P1,R1,B,B,D,True,1
271,mmlu-0015|P0|R1,mmlu-0015,P0,R1,C,C,B,True,1
272,mmlu-0067|P0|R1,mmlu-0067,P0,R1,A,D,D,False,1
273,mmlu-0286|P1|R1,mmlu-0286,P1,R1,C,C,D,True,1
274,mmlu-0509|P2|R1,mmlu-0509,P2,R1,B,B,D,True,1
275,mmlu-0515|P0|R1,mmlu-0515,P0,R1,D,A,D,False,1
276,mmlu-0745|P2|R2,mmlu-0745,P2,R2,D,A,D,False,1
277,mmlu-0305|P0|R2,mmlu-0305,P0,R2,B,C,C,False,1
278,mmlu-0403|P2|R2,mmlu-0403,P2,R2,B,C,D,False,1
279,mmlu-0013|P2|R1,mmlu-0013,P2,R1,C,C,B,True,1
280,mmlu-0977|P2|R2,mmlu-0977,P2,R2,B,B,A,True,1
281,mmlu-0001|P1|R1,mmlu-0001,P1,R1,D,D,B,True,1
282,mmlu-0284|P0|R2,mmlu-0284,P0,R2,D,D,D,True,1
283,mmlu-0067|P3|R1,mmlu-0067,P3,R1,B,C,D,False,1
284,mmlu-0565|P2|R2,mmlu-0565,P2,R2,C,B,D,False,1
285,mmlu-0661|P3|R2,mmlu-0661,P3,R2,B,B,A,True,1
286,mmlu-0565|P0|R1,mmlu-0565,P0,R1,B,C,D,False,1
287,mmlu-0813|P3|R1,mmlu-0813,P3,R1,B,A,A,False,1
288,mmlu-0067|P3|R2,mmlu-0067,P3,R2,B,C,D,False,1
289,mmlu-0715|P0|R1,mmlu-0715,P0,R1,B,A,A,False,1
290,mmlu-0745|P2|R1,mmlu-0745,P2,R1,D,A,D,False,1
291,mmlu-0663|P2|R1,mmlu-0663,P2,R1,A,A,A,True,1
292,mmlu-0663|P0|R1,mmlu-0663,P0,R1,D,D,A,True,1
293,mmlu-0743|P1|R1,mmlu-0743,P1,R1,B,D,B,False,1
294,mmlu-0186|P1|R2,mmlu-0186,P1,R2,B,B,C,True,1
295,mmlu-0843|P1|R2,mmlu-0843,P1,R2,C,C,B,True,1
296,mmlu-0813|P2|R1,mmlu-0813,P2,R1,D,D,D,True,1
297,mmlu-0599|P2|R1,mmlu-0599,P2,R1,B,C,A,False,1
298,mmlu-0475|P3|R1,mmlu-0475,P3,R1,A,C,C,False,1
299,mmlu-0745|P0|R2,mmlu-0745,P0,R2,A,D,D,False,1
300,mmlu-0070|P3|R2,mmlu-0070,P3,R2,C,A,D,False,1
301,mmlu-0288|P1|R1,mmlu-0288,P1,R1,C,A,B,False,1
302,mmlu-0772|P3|R1,mmlu-0772,P3,R1,A,B,C,False,1
303,mmlu-0592|P0|R1,mmlu-0592,P0,R1,C,C,A,True,1
304,mmlu-0984|P1|R2,mmlu-0984,P1,R2,A,A,A,True,1
305,mmlu-0556|P2|R1,mmlu-0556,P2,R1,C,C,B,True,1
306,mmlu-0036|P1|R2,mmlu-0036,P1,R2,C,C,D,True,1
307,mmlu-0442|P2|R1,mmlu-0442,P2,R1,D,D,D,True,1
308,mmlu-0098|P3|R1,mmlu-0098,P3,R1,C,B,C,False,1
309,mmlu-0403|P0|R1,mmlu-0403,P0,R1,C,D,C,False,1
310,mmlu-0280|P1|R1,mmlu-0280,P1,R1,C,C,C,True,1
311,mmlu-0191|P3|R1,mmlu-0191,P3,R1,C,D,B,False,1
312,mmlu-0013|P0|R2,mmlu-0013,P0,R2,B,C,A,False,1
313,mmlu-0661|P1|R1,mmlu-0661,P1,R1,C,C,A,True,1
314,mmlu-0880|P2|R2,mmlu-0880,P2,R2,D,D,C,True,1
315,mmlu-0772|P1|R1,mmlu-0772,P1,R1,D,D,D,True,1
316,mmlu-0001|P2|R2,mmlu-0001,P2,R2,B,B,B,True,1
317,mmlu-0442|P3|R2,mmlu-0442,P3,R2,B,D,B,False,1
318,mmlu-0984|P3|R1,mmlu-0984,P3,R1,D,D,A,True,1
319,mmlu-0447|P3|R1,mmlu-0447,P3,R1,B,D,D,False,1
320,mmlu-0661|P0|R2,mmlu-0661,P0,R2,A,A,A,True,1
321,mmlu-0286|P0|R2,mmlu-0286,P0,R2,A,B,C,False,1
322,mmlu-0920|P1|R1,mmlu-0920,P1,R1,B,D,A,False,1
323,mmlu-0772|P2|R2,mmlu-0772,P2,R2,B,D,C,False,1
324,mmlu-0153|P0|R1,mmlu-0153,P0,R1,A,A,A,True,1
325,mmlu-0742|P2|R1,mmlu-0742,P2,R1,D,A,D,False,1
326,mmlu-0515|P2|R2,mmlu-0515,P2,R2,A,C,A,False,1
327,mmlu-0681|P3|R2,mmlu-0681,P3,R2,D,A,A,False,1
328,mmlu-0841|P1|R2,mmlu-0841,P1,R2,B,D,B,False,1
329,mmlu-0652|P2|R2,mmlu-0652,P2,R2,C,C,D,True,1
330,mmlu-0233|P1|R2,mmlu-0233,P1,R2,D,A,A,False,1
331,mmlu-0475|P3|R2,mmlu-0475,P3,R2,A,C,C,False,1
332,mmlu-0565|P0|R2,mmlu-0565,P0,R2,B,C,D,False,1
333,mmlu-0599|P0|R2,mmlu-0599,P0,R2,C,A,D,False,1
334,mmlu-0509|P3|R1,mmlu-0509,P3,R1,A,A,D,True,1
335,mmlu-0001|P3|R2,mmlu-0001,P3,R2,A,A,B,True,1
336,mmlu-0098|P1|R1,mmlu-0098,P1,R1,B,A,A,False,1
337,mmlu-0284|P1|R2,mmlu-0284,P1,R2,B,C,A,False,1
338,mmlu-0565|P2|R1,mmlu-0565,P2,R1,C,B,D,False,1
339,mmlu-0920|P2|R2,mmlu-0920,P2,R2,A,B,A,False,1
340,mmlu-0403|P2|R1,mmlu-0403,P2,R1,B,C,D,False,1
341,mmlu-0509|P3|R2,mmlu-0509,P3,R2,A,A,D,True,1
342,mmlu-0292|P0|R1,mmlu-0292,P0,R1,B,B,A,True,1
343,mmlu-0555|P2|R2,mmlu-0555,P2,R2,D,D,B,True,1
344,mmlu-0767|P0|R1,mmlu-0767,P0,R1,B,A,C,False,1
345,mmlu-0648|P3|R2,mmlu-0648,P3,R2,B,B,B,True,1
346,mmlu-0446|P1|R2,mmlu-0446,P1,R2,D,C,D,False,1
347,mmlu-0447|P3|R2,mmlu-0447,P3,R2,B,D,D,False,1
